t_s,gpu_util_%,gpu_mem_mb,power_w,sm_mhz,mem_mhz,temp_c,cpu_total_%,cpu_mainproc_%,disk_read_mbs,disk_write_mbs,ram_used_gb
81.7,100,4792,32.46,1755,5486,53,25.5,96.3,0.0,0.01,12.62
82.8,18,4466,20.25,1755,5486,50,27.1,99.3,0.0,0.03,12.63
83.9,17,4466,14.10,1755,5486,49,23.1,99.2,0.07,0.07,12.62
84.9,100,4100,25.31,1755,5486,52,29.3,99.7,0.0,0.01,12.6
86.0,41,4498,17.92,1755,5486,49,25.4,103.8,0.21,0.22,12.59
87.0,100,4498,30.92,1755,5486,52,32.2,101.0,0.0,0.0,12.59
88.1,100,4130,36.67,1755,5486,53,25.3,98.9,0.03,0.1,12.6
89.1,100,4462,17.41,1755,5486,52,31.7,99.2,0.07,0.2,12.61
90.2,89,3974,36.05,1755,5486,53,23.8,99.6,0.06,0.01,12.6
91.2,100,4502,35.01,1755,5486,53,30.1,100.6,0.0,0.02,12.6
92.3,19,3692,23.01,1755,5486,50,23.7,100.8,0.0,0.0,12.61
93.4,19,4222,14.20,1755,5486,50,30.5,99.6,0.0,0.06,12.61
94.4,100,4222,29.18,1402,5486,53,24.3,97.6,0.16,0.29,12.62
95.5,100,2802,36.19,1755,5486,53,26.0,96.5,0.0,0.0,12.61
96.5,18,2802,22.66,1755,5486,50,25.5,99.3,0.0,0.0,12.59
97.6,18,3050,14.23,1755,5486,50,25.9,94.6,0.03,0.1,12.59
98.6,100,4040,32.54,1747,5486,54,25.7,99.4,0.0,0.08,12.59
99.7,100,4042,34.48,1755,5486,53,35.8,97.3,0.58,0.01,12.6
100.8,100,4042,35.30,1755,5486,53,27.6,100.3,4.86,8.24,12.63
101.8,23,2912,31.06,1755,5486,52,22.9,98.7,0.07,0.34,12.64
102.9,100,3893,18.74,1755,5486,53,24.6,99.1,0.51,0.7,12.63
103.9,95,3135,37.99,1755,5486,54,18.8,97.8,0.21,0.48,12.62
105.0,84,2307,33.83,1755,5486,53,17.5,97.7,0.46,0.29,12.62
106.1,17,1962,32.10,1755,5486,53,20.5,98.8,0.47,0.0,12.63
107.1,17,1962,14.18,1755,5486,51,31.0,91.6,0.17,0.63,12.65
108.2,99,2216,21.82,1755,5486,53,25.6,93.0,1.49,0.34,12.63
109.2,100,2220,37.11,1777,5486,53,26.1,91.5,0.42,1.29,12.2
110.3,20,1693,26.41,1777,5486,51,28.5,82.8,0.42,0.14,12.21
111.4,19,1710,14.63,1777,5486,51,34.8,89.3,0.2,0.0,12.23
112.4,62,3084,18.32,1777,5486,53,32.9,91.8,5.36,0.01,12.47
113.5,100,5884,28.35,1777,5486,53,42.9,14.4,6.91,0.01,12.75
114.6,99,5879,33.24,1777,5486,53,20.8,0.0,0.1,0.29,12.76
115.6,100,5882,26.44,1777,5486,52,22.3,0.0,0.08,0.0,13.08
116.7,100,5869,23.03,1777,5486,53,28.0,91.5,0.0,0.09,13.09
117.8,100,5901,34.98,1777,5486,54,31.7,96.4,0.1,0.26,13.09
118.8,100,5909,34.65,1777,5486,54,29.2,98.7,0.44,0.32,13.08
119.9,100,5899,32.87,1777,5486,54,26.6,99.6,0.09,0.26,13.08
121.0,100,5891,33.11,1777,5486,54,28.0,19.1,8.15,0.02,13.05
